                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.3418,                0.90286,                 1.9414,                0.81134,                0.74182,                0.82798,                0.44986,                 1.5036,                0.86751,                 2.1615,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.3398,                 0.9092,                 1.9195,                0.80808,                0.74524,                0.82975,                0.45286,                 1.4925,                0.86425,                 2.1516,               0.001472,               0.001472,               0.001472
                     83,                 1.3555,                 0.9154,                 1.9165,                0.80329,                0.74524,                0.83141,                0.45265,                 1.4939,                 0.8677,                 2.1869,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.3497,                0.90265,                 1.9138,                0.81704,                0.74289,                0.83725,                0.45649,                 1.5026,                0.85924,                 2.1584,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.3271,                0.89691,                 1.8897,                0.80029,                0.73797,                0.83375,                  0.456,                 1.4957,                0.87061,                 2.1456,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.3217,                0.90082,                 1.9197,                0.77947,                0.76796,                0.82889,                0.44539,                 1.5111,                0.87684,                 2.1376,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.3451,                0.90666,                 1.9032,                0.82097,                0.74317,                  0.836,                0.45227,                 1.5156,                0.86067,                 2.1778,               0.001439,               0.001439,               0.001439
                     88,                 1.3343,                0.89273,                 1.9024,                0.78893,                0.76176,                0.83504,                0.45882,                 1.4825,                0.85801,                 2.1306,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.3416,                 0.9044,                 1.9041,                0.80464,                0.74084,                0.82899,                0.44745,                 1.5021,                0.86573,                 2.1356,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.3263,                0.88647,                 1.9035,                0.80777,                 0.7455,                0.83633,                0.45871,                 1.4805,                 0.8572,                 2.1479,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.3278,                0.89681,                 1.9193,                0.79831,                0.74156,                0.83035,                0.45419,                 1.4913,                0.85936,                 2.1235,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.3374,                0.89961,                 1.8715,                0.82213,                0.72253,                0.82797,                0.45544,                 1.4895,                0.85289,                 2.1103,               0.001406,               0.001406,               0.001406
                     93,                 1.3264,                0.89076,                  1.885,                0.81012,                0.74954,                0.83733,                0.45955,                 1.4819,                0.85061,                 2.1283,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.3297,                0.90003,                 1.9232,                0.79501,                0.74996,                0.83608,                0.45616,                 1.5058,                0.84925,                 2.1449,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.3303,                0.89723,                 1.8893,                0.81473,                0.74831,                0.83818,                0.46444,                 1.4712,                0.84836,                 2.1231,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.3284,                   0.89,                 1.8936,                0.80291,                0.74775,                 0.8355,                0.44931,                  1.522,                0.85863,                 2.1682,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.3238,                0.88696,                 1.8797,                0.81894,                0.73235,                0.83518,                0.45684,                 1.4818,                0.84979,                 2.1303,               0.001373,               0.001373,               0.001373
                     98,                 1.3019,                0.88089,                 1.8841,                0.81564,                0.73872,                0.83071,                0.45969,                  1.485,                0.84069,                 2.1447,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.3215,                0.89243,                 1.8787,                0.80294,                0.73481,                0.83436,                0.45577,                 1.4894,                0.85127,                 2.1521,              0.0013598,              0.0013598,              0.0013598
                    100,                  1.329,                0.89327,                 1.9184,                0.81093,                0.73481,                 0.8384,                 0.4603,                 1.4862,                0.84992,                 2.1486,              0.0013532,              0.0013532,              0.0013532
                    101,                 1.3121,                0.88057,                 1.8906,                0.79355,                0.75752,                0.83878,                0.45012,                 1.4976,                0.86085,                 2.1375,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.3203,                0.88926,                 1.8703,                0.80385,                0.74967,                0.83585,                0.45792,                 1.4877,                0.84189,                 2.1415,                0.00134,                0.00134,                0.00134
                    103,                 1.3204,                0.87838,                  1.864,                 0.8093,                0.74647,                0.83841,                 0.4604,                 1.4818,                0.84704,                 2.1095,              0.0013334,              0.0013334,              0.0013334
                    104,                  1.308,                0.88038,                 1.8859,                0.79929,                  0.752,                0.83965,                0.46007,                 1.4821,                0.84226,                 2.1367,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.3009,                0.87444,                   1.85,                0.78912,                0.76857,                0.84072,                0.46034,                 1.4793,                0.83768,                 2.1319,              0.0013202,              0.0013202,              0.0013202
                    106,                  1.303,                0.87798,                 1.8799,                0.81004,                0.75015,                0.83503,                0.46303,                 1.4771,                 0.8334,                 2.1317,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.3155,                0.86513,                 1.8706,                0.80071,                0.76918,                0.84295,                0.46368,                 1.4624,                0.83294,                 2.1215,               0.001307,               0.001307,               0.001307
                    108,                 1.3021,                0.86715,                 1.8634,                0.81458,                0.74162,                 0.8374,                0.46216,                 1.4783,                0.84181,                 2.1223,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.3051,                0.86538,                 1.8689,                0.80032,                0.76182,                0.83568,                0.46175,                 1.4766,                0.83863,                 2.1213,              0.0012938,              0.0012938,              0.0012938
                    110,                 1.2795,                0.85538,                 1.8769,                0.82523,                0.74279,                0.84025,                0.46238,                 1.4713,                0.84382,                 2.1457,              0.0012872,              0.0012872,              0.0012872
                    111,                 1.2992,                0.86987,                 1.8591,                0.79745,                0.75813,                0.83739,                0.46122,                 1.4794,                0.84335,                  2.125,              0.0012806,              0.0012806,              0.0012806
                    112,                 1.2992,                0.87244,                 1.8591,                 0.8124,                0.74217,                0.83716,                0.45703,                 1.4876,                0.84179,                 2.1413,               0.001274,               0.001274,               0.001274
                    113,                 1.2981,                0.86146,                 1.8588,                0.81398,                0.74401,                0.83496,                0.45872,                  1.487,                0.84391,                 2.1429,              0.0012674,              0.0012674,              0.0012674
                    114,                 1.2929,                0.85429,                 1.8407,                0.80421,                0.74708,                0.83922,                0.45853,                 1.4741,                0.84504,                 2.1425,              0.0012608,              0.0012608,              0.0012608
                    115,                 1.2836,                0.86434,                 1.8483,                0.80279,                0.74217,                0.83743,                0.46127,                 1.4794,                0.84998,                 2.1465,              0.0012542,              0.0012542,              0.0012542
                    116,                 1.2967,                0.87022,                  1.859,                0.81384,                0.74338,                0.83702,                0.45636,                 1.4875,                0.84162,                 2.1168,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.2767,                0.85852,                 1.8682,                0.81101,                0.74033,                 0.8375,                0.46071,                 1.4934,                0.83386,                 2.1222,               0.001241,               0.001241,               0.001241
                    118,                 1.2868,                0.86338,                 1.8392,                0.80356,                0.75568,                0.84157,                0.45811,                 1.4945,                0.83826,                 2.1403,              0.0012344,              0.0012344,              0.0012344
                    119,                 1.2851,                0.85683,                  1.867,                0.80533,                0.74663,                0.84093,                0.46752,                 1.4684,                0.82721,                 2.0998,              0.0012278,              0.0012278,              0.0012278
